"mois","hauteur_moyenne","max_hauteur"
"1857-05",1007,1830
"1857-06",935,1780
"1857-07",536,850
"1857-08",397,750
"1857-09",521,1250
"1857-10",541,2400
"1857-11",535,680
"1857-12",589,350
"1875-01",535,1620
"1875-02",535,1370
"1875-03",627,1220
"1875-04",939,1840
"1875-05",1048,1570
"1875-06",1074,8320
"1875-07",640,1320
"1875-08",380,670
"1875-09",385,1120
"1875-10",528,1670
"1875-11",533,4270
"1875-12",491,350
"1879-01",599,3400
"1879-02",596,4870
"1879-03",652,1620
"1879-04",948,2600
"1879-05",1068,2200
"1879-06",1102,2180
"1879-07",719,1520
"1879-08",412,800
"1879-09",403,800
"1879-10",505,950
"1879-11",557,810
"1879-12",514,780
"1900-01",617,2560
"1900-02",687,2190
"1900-03",736,1030
"1900-04",935,1550
"1900-05",1126,1820
"1900-06",1069,4000
"1900-07",692,2220
"1900-08",476,780
"1900-09",377,1050
"1900-10",488,1000
"1900-11",544,1580
"1900-12",636,1600
"1905-01",651,540
"1905-02",704,700
"1905-03",783,1200
"1905-04",987,1200
"1905-05",1181,4240
"1905-06",1147,1200
"1905-07",739,850
"1905-08",518,950
"1905-09",401,1050
"1905-10",525,1700
"1905-11",583,2350
"1905-12",678,1100
"1952-01",722,2150
"1952-02",716,4570
"1952-03",712,1780
"1952-04",817,1250
"1952-05",927,1150
"1952-06",808,850
"1952-07",518,700
"1952-08",415,400
"1952-09",439,300
"1952-10",491,950
"1952-11",579,2170
"1952-12",702,1900
"1977-01",746,690
"1977-02",863,730
"1977-03",858,760
"1977-04",967,1440
"1977-05",1093,4310
"1977-06",923,1760
"1977-07",624,2720
"1977-08",515,2190
"1977-09",491,720
"1977-10",514,720
"1977-11",592,760
"1977-12",715,850
"2000-01",816,900
"2000-02",785,2750
"2000-03",845,1090
"2000-04",1008,1680
"2000-05",1132,1480
"2000-06",919,4380
"2000-07",628,1100
"2000-08",556,990
"2000-09",555,750
"2000-10",669,1130
"2000-11",803,1110
"2000-12",804,1010
"2022-01",865,4633
"2022-02",882,830
"2022-03",833,1690
"2022-04",899,1232
"2022-05",1056,1172
"2022-06",925,838
"2022-07",634,611
"2022-08",540,759
"2022-09",536,623
"2022-10",589,806
"2022-11",702,1260
"2022-12",841,766
